bodyId_pre,bodyId_post,instance_pre,instance_post,type_pre,type_post,weight
1812363713,1813028777,LC17,LC17,LC17,LC17,2
1812363713,1813382259,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1812363713,1814031575,LC17,LC17,LC17,LC17,2
1812363713,1817107934,LC17,LC17,LC17,LC17,2
1812363713,1817112807,LC17,LC17(lVLPT4)_R,LC17,LC17,2
1812363713,1817449059,LC17,LC17,LC17,LC17,2
1812363713,1817449375,LC17,LC17,LC17,LC17,3
1812363713,1817452948,LC17,LC17,LC17,LC17,2
1812363713,1817453257,LC17,LC17,LC17,LC17,2
1812363713,1817457984,LC17,LC17,LC17,LC17,2
1812363713,1817458164,LC17,LC17,LC17,LC17,2
1812363713,1817790222,LC17,LC17,LC17,LC17,2
1812363713,1817790281,LC17,LC17(lVLPT4)_R,LC17,LC17,3
1812363713,1817799390,LC17,LC17,LC17,LC17,4
1812363713,1818473569,LC17,LC17,LC17,LC17,3
1812363713,1847806203,LC17,LC17,LC17,LC17,2
1812363713,1847806275,LC17,LC17,LC17,LC17,3
1812363713,1848151618,LC17,NA,LC17,NA,2
1812363713,1848506334,LC17,NA,LC17,NA,3
1812363713,1848824817,LC17,LC17,LC17,LC17,2
1812363713,1848828925,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1812363713,1848837843,LC17,LC17,LC17,LC17,2
1812363713,1849161220,LC17,LC17,LC17,LC17,2
1812363713,1849166071,LC17,LC17,LC17,LC17,2
1812363713,1849174879,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1812363713,1849178917,LC17,LC17,LC17,LC17,2
1812363713,1849503093,LC17,NA,LC17,NA,2
1812363713,1878845629,LC17,LC17,LC17,LC17,4
1812363713,1881224284,LC17,NA,LC17,NA,3
1812363713,1908865507,LC17,LC17,LC17,LC17,2
1812363713,1941623121,LC17,NA,LC17,NA,4
1812363713,1974004779,LC17,NA,LC17,NA,2
1812363713,2029624973,LC17,LC17,LC17,LC17,2
1812363713,2067113702,LC17,NA,LC17,NA,3
1812363713,2245501457,LC17,LC17,LC17,LC17,2
1812363713,5812989875,LC17,AVLP409_R,LC17,AVLP409,2
1812363713,5812992219,LC17,LC17,LC17,LC17,2
1812363713,5812993994,LC17,LC17,LC17,LC17,2
1812363713,5812998833,LC17,LC17,LC17,LC17,2
1812363713,5813017315,LC17,AVLP479_R,LC17,AVLP479,8
1812363713,5813039148,LC17,PVLP011_R,LC17,PVLP011,42
1812363713,5813057579,LC17,AVLP538_R,LC17,AVLP538,12
1812363713,5813077633,LC17,AVLP479_R,LC17,AVLP479,13
1812363713,5813080260,LC17,AVLP153_R,LC17,AVLP153,5
1812696567,447228814,LC17,PVLP106_R,LC17,PVLP106,48
1812696567,1068885266,LC17,PVLP151(SCB004)_R,LC17,PVLP151,4
1812696567,1070950293,LC17,PVLP151(SCB004)_R,LC17,PVLP151,3
1812696567,1219592090,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1812696567,1221285175,LC17,LC17,LC17,LC17,2
1812696567,1250277991,LC17,LC17,LC17,LC17,2
1812696567,1321305370,LC17,PVLP061_R,LC17,PVLP061,73
1812696567,1354394414,LC17,PVLP120_R,LC17,PVLP120,9
1812696567,1374063129,LC17,PVLP132_R,LC17,PVLP132,20
1812696567,1381997776,LC17,PVLP071_R,LC17,PVLP071,10
1812696567,1382308349,LC17,PVLP071_R,LC17,PVLP071,13
1812696567,1420172582,LC17,NA,LC17,NA,2
1812696567,1435791739,LC17,PVLP132_R,LC17,PVLP132,9
1812696567,1437165487,LC17,LC17,LC17,LC17,3
1812696567,1449486007,LC17,AVLP537_R,LC17,AVLP537,12
1812696567,1466844031,LC17,LC17,LC17,LC17,3
1812696567,1472965897,LC17,LC17,LC17,LC17,2
1812696567,1473332777,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1812696567,1473648518,LC17,LC17,LC17,LC17,2
1812696567,1474424990,LC17,PVLP073_R,LC17,PVLP073,2
1812696567,1479147574,LC17,PVLP072_R,LC17,PVLP072,10
1812696567,1479492693,LC17,PVLP072_R,LC17,PVLP072,6
1812696567,1508123633,LC17,PVLP018_R,LC17,PVLP018,4
1812696567,1512232956,LC17,AVLP135_R,LC17,AVLP135,2
1812696567,1530606252,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1812696567,1535082316,LC17,PVLP135_R,LC17,PVLP135,18
1812696567,1535086505,LC17,PVLP135_R,LC17,PVLP135,24
1812696567,1565729476,LC17,LC17,LC17,LC17,2
1812696567,1589972966,LC17,LC17(lVLPT4)_R,LC17,LC17,2
1812696567,1603645798,LC17,PVLP072_R,LC17,PVLP072,3
1812696567,1630342162,LC17,PVLP036_R,LC17,PVLP036,5
1812696567,1658881325,LC17,LC17,LC17,LC17,2
1812696567,1689200671,LC17,LC17,LC17,LC17,4
1812696567,1690694192,LC17,PVLP036_R,LC17,PVLP036,4
1812696567,1690698128,LC17,PVLP036_R,LC17,PVLP036,2
1812696567,1695693354,LC17,PVLP072_R,LC17,PVLP072,2
1812696567,1720105182,LC17,NA,LC17,NA,2
1812696567,1724345210,LC17,NA,LC17,NA,4
1812696567,1751262627,LC17,LC17,LC17,LC17,4
1812696567,1781324410,LC17,LC17,LC17,LC17,3
1812696567,1781333405,LC17,LC17,LC17,LC17,3
1812696567,1783361972,LC17,LC17,LC17,LC17,2
1812696567,1814055949,LC17,LC17,LC17,LC17,2
1812696567,1814060070,LC17,LC17,LC17,LC17,2
1812696567,1814410124,LC17,LC17,LC17,LC17,2
1812696567,1817448971,LC17,LC17,LC17,LC17,2
1812696567,1817449059,LC17,LC17,LC17,LC17,3
1812696567,1817453065,LC17,LC17,LC17,LC17,2
1812696567,1817457987,LC17,LC17,LC17,LC17,3
1812696567,1817458052,LC17,LC17,LC17,LC17,2
1812696567,1817785682,LC17,LC17,LC17,LC17,4
1812696567,1847806275,LC17,LC17,LC17,LC17,2
1812696567,1848138779,LC17,LC17,LC17,LC17,2
1812696567,1848151236,LC17,LC17,LC17,LC17,2
1812696567,1848151571,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1812696567,1848828925,LC17,LC17(lVLPT7)_R,LC17,LC17,2
1812696567,1849183960,LC17,LC17(lVLPT7)_R,LC17,LC17,4
1812696567,1849507321,LC17,LC17,LC17,LC17,2
1812696567,1849520324,LC17,LC17,LC17,LC17,2
1812696567,1876820783,LC17,LC17,LC17,LC17,3
1812696567,1878845226,LC17,LC17,LC17,LC17,3
1812696567,1880209425,LC17,LC17(lVLPT7)_R,LC17,LC17,3
