path,bodyId,type,weight,size,source,target
37,5813077633,AVLP479,0,3,5813077633,981000564
37,5813063087,PVLP014,35,3,5813077633,981000564
37,481657750,AVLP030,21,3,5813077633,981000564
37,981000564,DNp42,11,3,5813077633,981000564
38,5813077633,AVLP479,0,3,5813077633,981000564
38,859839499,AVLP532,26,3,5813077633,981000564
38,481657750,AVLP030,41,3,5813077633,981000564
38,981000564,DNp42,11,3,5813077633,981000564
39,5813077633,AVLP479,0,3,5813077633,981000564
39,829145708,AVLP031,12,3,5813077633,981000564
39,481657750,AVLP030,11,3,5813077633,981000564
39,981000564,DNp42,11,3,5813077633,981000564
40,5813077633,AVLP479,0,3,5813077633,981000564
40,797442049,AVLP280,23,3,5813077633,981000564
40,481657750,AVLP030,26,3,5813077633,981000564
40,981000564,DNp42,11,3,5813077633,981000564
41,5813077633,AVLP479,0,3,5813077633,981000564
41,1321352281,AVLP163,33,3,5813077633,981000564
41,481657750,AVLP030,22,3,5813077633,981000564
41,981000564,DNp42,11,3,5813077633,981000564
42,5813077633,AVLP479,0,3,5813077633,981000564
42,1353359159,AVLP154,50,3,5813077633,981000564
42,481657750,AVLP030,108,3,5813077633,981000564
42,981000564,DNp42,11,3,5813077633,981000564
43,5813077633,AVLP479,0,3,5813077633,981000564
43,5813027276,AVLP080,14,3,5813077633,981000564
43,857793013,AVLP251,14,3,5813077633,981000564
43,981000564,DNp42,27,3,5813077633,981000564
44,5813077633,AVLP479,0,3,5813077633,981000564
44,919168397,AVLP428,10,3,5813077633,981000564
44,857793013,AVLP251,11,3,5813077633,981000564
44,981000564,DNp42,27,3,5813077633,981000564
45,5813077633,AVLP479,0,3,5813077633,981000564
45,1321305370,PVLP061,23,3,5813077633,981000564
45,857793013,AVLP251,16,3,5813077633,981000564
45,981000564,DNp42,27,3,5813077633,981000564
46,5813077633,AVLP479,0,3,5813077633,981000564
46,829145708,AVLP031,12,3,5813077633,981000564
46,857793013,AVLP251,19,3,5813077633,981000564
46,981000564,DNp42,27,3,5813077633,981000564
47,5813077633,AVLP479,0,3,5813077633,981000564
47,1136752885,AVLP077,107,3,5813077633,981000564
47,857793013,AVLP251,52,3,5813077633,981000564
47,981000564,DNp42,27,3,5813077633,981000564
48,5813077633,AVLP479,0,3,5813077633,981000564
48,797442049,AVLP280,23,3,5813077633,981000564
48,857793013,AVLP251,20,3,5813077633,981000564
48,981000564,DNp42,27,3,5813077633,981000564
49,5813077633,AVLP479,0,3,5813077633,981000564
49,1321352281,AVLP163,33,3,5813077633,981000564
49,857793013,AVLP251,50,3,5813077633,981000564
49,981000564,DNp42,27,3,5813077633,981000564
50,5813077633,AVLP479,0,3,5813077633,981000564
50,1042957191,AVLP019,38,3,5813077633,981000564
50,857793013,AVLP251,22,3,5813077633,981000564
50,981000564,DNp42,27,3,5813077633,981000564
51,5813077633,AVLP479,0,3,5813077633,981000564
51,5813057579,AVLP538,111,3,5813077633,981000564
51,857793013,AVLP251,14,3,5813077633,981000564
51,981000564,DNp42,27,3,5813077633,981000564
52,5813077633,AVLP479,0,3,5813077633,981000564
52,673639143,AVLP215,24,3,5813077633,981000564
52,5813037826,AVLP098,36,3,5813077633,981000564
52,981000564,DNp42,17,3,5813077633,981000564
53,5813077633,AVLP479,0,3,5813077633,981000564
53,5813027276,AVLP080,14,3,5813077633,981000564
53,5813037826,AVLP098,72,3,5813077633,981000564
53,981000564,DNp42,17,3,5813077633,981000564
